"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","responses","view_history"
"1750","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","1753","0.0-0.0","fu7ojh","",""
"1404","","","survey-text","1","4158","0.0-1.0","fu7ojh","{""Q0"":"""",""Q1"":"""",""Q2"":""""}",""
"1822","","","instructions","2","5980","0.0-2.0","fu7ojh","","[{""page_index"":0,""viewing_time"":813},{""page_index"":1,""viewing_time"":535},{""page_index"":2,""viewing_time"":474}]"
