"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","noofpartners","chose1","chose2","chose3","chose4","chose5","chose1_ind","chose2_ind","chose3_ind","chose4_ind","chose5_ind","group_chosen","group_notchosen","partner_accept","partner_reject","partner_accept_task1","a_top_no","a_bottom_no","b_top_no","b_bottom_no","outside_no","ownamount","defected","timedout"
"740","<p>You have finished the practice rounds. <br><br>Now, in the task that follows, you have the opportunity to earn points and earn money. At the end of the experiment one round will be randomly selected from this task and you will be paid an amount of money equivalent to the points you earned in that round. The more points you earn, the greater your payout.<br><br>When you are ready, click the button to begin the task with your assigned partner.<br><br>","0","html-button-response","17","37791","0.0-2.0-0.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","18","40794","0.0-3.0-0.0-0.0","9ymqjo","1536","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"394","","1","html-button-response","19","41941","0.0-3.0-0.0-1.0","9ymqjo","1536","734","","","","","","","","1_start_click","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","20","42213","0.0-3.0-0.0-3.0","9ymqjo","1536","734","","","","","","","","2_start_leave","7","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"700","","0","html-button-response","21","42914","0.0-3.0-0.0-5.0","9ymqjo","1536","734","","","","","","","","3_choice","7","","","-2","300","400","#ffaa00","#00ff7f","400","false","300","#ffaa00","0","#00ff7f","217","176","767,753,753,733,709,709,680,680,654,641,641,628,628,616,604,604,589,589,564,541,541,516,516,486,456,456,424,424,398,377,377,361,361,341,329,329,317,317,305,293,293,285,285,270,260,260,249,249,238,228,228,223,223,221,219,219,217,217,217,217,217,217,217,217,217,217,217,217,217","608,555,555,485,425,425,376,376,345,331,331,323,323,316,312,312,308,308,302,298,298,294,294,290,281,281,271,271,258,245,245,236,236,228,224,224,220,220,216,211,211,206,206,200,196,196,192,192,188,184,184,182,182,180,180,180,177,177,176,176,176,176,176,176,176,176,176,176,176","11,21,31,42,51,62,72,81,92,101,111,121,132,142,151,162,171,181,191,202,211,221,232,242,250,262,271,281,292,301,311,321,331,341,350,362,371,381,391,402,411,421,431,441,451,461,471,480,491,500,511,522,532,542,550,562,571,581,591,602,611,621,631,641,651,661,672,682,691","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #ffaa00""><b>300<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #00ff7f;""><b>400<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>300<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>0<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","22","46417","0.0-3.0-1.0","9ymqjo","1536","734","","","","","","null","","4_feedback_auto","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","23","48920","0.0-3.0-0.1-0.1","9ymqjo","1536","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"370","","1","html-button-response","24","50042","0.0-3.0-0.1-1.1","9ymqjo","1536","734","","","","","","","","1_start_click","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","25","50096","0.0-3.0-0.1-3.1","9ymqjo","1536","734","","","","","","","","2_start_leave","6","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1172","","0","html-button-response","26","51269","0.0-3.0-0.1-5.1","9ymqjo","1536","734","","","","","","","","3_choice","6","","","-2","350","250","#00ff7f","#ffaa00","350","true","350","#00ff7f","350","#00ff7f","185","161","838,900,900,967,1040,1040,1104,1104,1164,1203,1203,1239,1239,1258,1276,1276,1293,1293,1313,1332,1332,1351,1351,1370,1389,1389,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1392,1389,1387,1387,1381,1381,1371,1359,1359,1348,1348,1344,1339,1339,1332,1332,1320,1308,1308,1298,1298,1284,1237,1237,1140,1140,1002,841,841,666,666,505,387,387,292,292,275,263,263,252,252,245,233,233,219,219,205,195,195,190,190,188,186,186,185,185,185,185,185,185,185,185,185,185,185","603,534,534,447,352,352,272,272,217,188,188,166,166,155,148,148,144,144,140,136,136,130,130,121,113,113,110,110,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,111,112,114,114,117,117,120,124,124,129,129,131,132,132,133,133,134,136,136,140,140,144,152,152,161,161,160,164,164,153,153,149,145,145,141,141,144,145,145,148,148,151,154,154,157,157,158,160,160,160,160,160,160,160,161,161,161,161,161,161,161,161,161,161,161","11,21,31,41,51,62,71,81,91,101,111,121,131,141,151,162,171,181,191,201,211,222,231,241,250,261,271,281,291,301,311,321,333,341,351,361,371,381,391,401,411,421,431,441,451,461,471,481,491,501,511,521,531,541,550,561,571,581,591,601,611,621,632,641,651,661,671,681,691,701,711,721,732,741,751,761,771,782,791,801,811,821,831,841,850,861,871,881,891,901,912,921,931,941,951,961,971,981,991,1001,1011,1021,1031,1041,1051,1061,1071,1081,1091,1103,1111,1121,1131,1141,1151,1161,1172","","","","","","","","","","","","","","","","","","","","","","","",""
