"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","responses","view_history"
"1450","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","1453","0.0-0.0","ee835p","",""
"6929","","","survey-text","1","9387","0.0-1.0","ee835p","{""Q0"":""Matthew"",""Q1"":""30"",""Q2"":""dddm""}",""
"1907","","","instructions","2","11294","0.0-2.0","ee835p","","[{""page_index"":0,""viewing_time"":947},{""page_index"":1,""viewing_time"":484},{""page_index"":2,""viewing_time"":476}]"
