"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history"
"1207","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","1209","0.0-0.0","",""
"504","","","survey-text","1","2717","0.0-1.0","{""Q0"":"""",""Q1"":"""",""Q2"":""""}",""
"2029","","","instructions","2","4747","0.0-2.0","","[{""page_index"":0,""viewing_time"":843},{""page_index"":1,""viewing_time"":578},{""page_index"":2,""viewing_time"":606}]"
