"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","timedout"
"1329","Now that you've created your avatar, please could you answer the three questions in the pages that follow to provide a short description of yourself. <br><br>These will be shared with potential partners in your interactions in the upcoming tasks, while theirs will be shared with you.<br></p>Please click the button at the bottom of the page to continue.<br></p>","0","html-button-response","0","1334","0.0-0.0-0.0","7bzaut","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2438","","","survey-text-adapt","1","4526","0.0-0.0-1.0","7bzaut","1536","734","{""Q0"":""d""}","d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1416","","","survey-text-adapt","2","6693","0.0-0.0-2.0","7bzaut","1536","734","{""Q0"":""d""}","","d","","","","","","","","","","","","","","","","","","","","","","","","",""
"671","","","survey-text-adapt","3","8116","0.0-0.0-3.0","7bzaut","1536","734","{""Q0"":""f""}","","","f","","","","","","","","","","","","","","","","","","","","","","","",""
"620","<br><br><div><img src='svgavatars/ready-avatars/7bzaut.png' alt='blinking!'></img><br></div><br><b>Films:</b>  d  <br><b>Music:</b>  d  <br><b>Food:</b>   f  <br><br>Well done!!<br>You've created your own avatar and provided a description of yourself, which will represent you as you interact with partners in the tasks that follow.<br><br>Please click the button below to continue to Part 2.<br><br>","0","html-button-response","4","9488","0.0-0.0-4.0","7bzaut","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4072","","","instructions","5","14561","0.0-0.0-5.0","7bzaut","1536","734","","","","","[{""page_index"":0,""viewing_time"":952},{""page_index"":1,""viewing_time"":433},{""page_index"":2,""viewing_time"":647},{""page_index"":3,""viewing_time"":613},{""page_index"":4,""viewing_time"":662},{""page_index"":5,""viewing_time"":765}]","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","6","17063","0.0-0.0-6.0","7bzaut","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","7","19064","0.0-0.0-7.0","7bzaut","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","8","22067","0.0-0.0-8.0","7bzaut","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","9","24569","0.0-0.0-9.0","7bzaut","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","",""
"6955","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><p>The partner you have been matched with is: <b>Player 11</b>.<br><br> Click the button below to read the instructions for the task that follows.<br><br></p>","0","html-button-response","10","32525","0.0-0.0-10.0","7bzaut","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"564","<p>As described earlier, in this task your partner will first make a choice. You will then have to make a choice between two options. A reminder that your partner will not see which choice you make.<br><br>To complete your task you must:<br>1. Click the <i>start</i> button<br>2. <i>Move the mouse cursor</i> out of the grey box to reveal your two options<br>3. Use the mouse to <i>click</i> on your choice<br><br> Before you begin the task, you and your partner have several rounds for practice. These are to make you familiar with the task and you are not able to earn points in them.<br><br> Click the button below to begin the practice session.</p>","0","html-button-response","11","34093","0.0-0.0-11.0","7bzaut","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","12","36595","0.0-1.0-0.0-0.0","7bzaut","1536","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","","",""
"802","","1","html-button-response","13","38151","0.0-1.0-0.0-1.0","7bzaut","1536","734","","","","","","","","1_start_click","1","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","14","40733","0.0-1.0-0.0-3.0","7bzaut","1536","734","","","","","","","","2_start_leave","1","true","yes","","","","","","","","","","","","","","","","",""
"null","","null","html-button-response","15","41154","0.0-1.0-0.0-5.0","7bzaut","1536","734","","","","","","","","3_choice","1","","","-1","250","200","#00ff7f","#ffaa00","250","false","0","","0","#00ff7f","778","544","776,776,776,776,776,776,777,777,777,777,777,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778","563,561,561,560,559,559,556,556,555,554,554,553,553,552,551,551,550,550,549,549,549,548,548,548,547,547,546,546,545,545,544,544,544,544,544,544,544,544,544,544,544","10,20,30,40,51,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,231,240,250,261,270,280,290,300,310,321,330,340,350,360,370,380,390,400,410",""
"null","<div><i>You didn't respond within 3 seconds. Please try to respond faster next time!</i></div>","","html-keyboard-response","16","44156","0.0-1.0-0.0-6.0-0.0","7bzaut","1536","734","","","","","","null","","choice_timeout","","","","","","","","","","","","","","","","","","","","yes"
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","17","46660","0.0-1.0-0.1-0.1","7bzaut","1536","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","","",""
