"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","responses","view_history"
"2340","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","2345","0.0-0.0","xqfp9t","",""
"4720","","","survey-text","1","8069","0.0-1.0","xqfp9t","{""Q0"":""matt"",""Q1"":""matt"",""Q2"":""matt""}",""
"1587","","","instructions","2","9656","0.0-2.0","xqfp9t","","[{""page_index"":0,""viewing_time"":731},{""page_index"":1,""viewing_time"":459},{""page_index"":2,""viewing_time"":395}]"
