"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history"
"912","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","917","0.0-0.0","",""
"540","","","survey-text","1","2460","0.0-1.0","{""Q0"":"""",""Q1"":"""",""Q2"":""""}",""
"2138","","","instructions","2","4599","0.0-2.0","","[{""page_index"":0,""viewing_time"":983},{""page_index"":1,""viewing_time"":572},{""page_index"":2,""viewing_time"":583}]"
