"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp"
"1241","","0","html-button-response","20","48477","0.0-1.0-0.1-5.1","xqfp9t","1127","734","","","","","","","","3_choice","8","","","-1","400","350","#00ff7f","#ffaa00","400","true","400","#00ff7f","400","#00ff7f","41","54","597,607,607,613,620,620,619,619,615,604,604,591,591,572,540,540,504,504,469,438,438,408,408,378,360,360,345,345,339,337,337,337,337,337,347,347,364,364,395,456,456,548,548,662,776,776,889,889,1017,1071,1071,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1122,1122,1108,1060,1060,988,988,880,804,804,708,708,624,540,540,468,468,396,312,312,269,269,244,232,232,225,225,214,203,203,189,189,165,148,148,133,133,121,111,111,100,100,96,80,80,67,67,54,44,44,40,40,39,39,39,39,39,40,41,41,41,41,41","518,460,460,401,348,348,314,314,289,264,264,248,248,230,208,208,185,185,166,150,150,137,137,130,127,127,122,122,121,121,121,121,121,121,117,117,112,112,104,98,98,91,91,79,54,54,29,29,14,14,14,17,17,17,17,17,17,17,17,17,17,36,36,40,44,44,49,49,58,60,60,69,69,68,63,63,56,56,48,40,40,38,38,36,36,36,36,36,36,35,35,35,35,32,31,31,29,29,29,29,29,32,32,34,39,39,43,43,44,48,48,51,51,52,52,52,52,52,53,54,54,54,54,54","11,21,31,41,51,61,71,81,90,100,111,121,130,140,150,161,171,181,191,201,211,221,230,241,251,261,270,280,291,300,311,320,330,341,350,361,371,381,391,400,411,421,431,441,451,461,470,481,491,501,511,521,531,540,551,561,571,580,590,601,610,621,631,641,650,661,671,681,690,700,711,721,730,741,750,760,770,780,791,801,811,821,831,841,850,861,871,881,891,901,910,920,931,941,950,961,970,981,991,1001,1011,1021,1031,1041,1051,1060,1071,1080,1090,1100,1111,1120,1130,1141,1150,1161,1171,1181,1191,1200,1211,1221,1231,1241"
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/xqfp9t.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #00ff7f""><b>400<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #00ff7f;""><b>400<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>400<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>400<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","21","51983","0.0-1.0-1.1","xqfp9t","1127","734","","","","","","null","","4_feedback_auto","8","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","22","55141","0.0-1.0-0.2-0.2","xqfp9t","1127","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","",""
"1528","","1","html-button-response","23","57673","0.0-1.0-0.2-1.2","xqfp9t","1127","734","","","","","","","","1_start_click","1","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","24","57804","0.0-1.0-0.2-3.2","xqfp9t","1127","734","","","","","","","","2_start_leave","1","true","yes","","","","","","","","","","","","","","","",""
"1159","","0","html-button-response","25","58964","0.0-1.0-0.2-5.2","xqfp9t","1127","734","","","","","","","","3_choice","1","","","-1","250","200","#00ff7f","#ffaa00","250","true","250","#00ff7f","250","#00ff7f","71","56","567,567,567,543,512,512,488,488,446,398,398,334,334,271,240,240,217,217,200,186,186,176,176,171,168,168,165,165,158,146,146,134,134,122,109,109,97,97,81,69,69,57,57,48,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,55,55,66,72,72,74,74,74,74,75,76,76,77,81,81,84,84,89,89,89,89,89,89,89,89,89,89,89,86,86,84,84,82,79,79,77,77,75,72,72,71,71,71,71,71,71,71,71,71","531,500,500,372,308,308,262,262,229,196,196,168,168,144,136,136,129,129,125,122,122,120,120,120,120,120,120,120,117,112,112,108,108,104,100,100,96,96,90,86,86,84,84,80,76,76,76,76,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,72,72,68,68,64,63,63,62,62,62,62,62,62,62,61,59,59,58,58,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,57,57,57,56,56,56,56,56,56,56,56,56","11,21,31,40,50,61,71,81,91,101,111,120,131,140,151,160,171,180,191,201,210,221,231,241,251,261,271,280,290,300,311,321,331,340,351,361,371,382,391,401,410,420,431,440,451,461,471,481,490,501,510,521,531,541,551,561,571,581,591,600,611,620,632,641,650,661,670,680,691,700,710,721,733,741,751,761,770,781,791,800,810,821,830,841,851,861,871,881,891,901,911,921,931,941,951,961,971,981,991,1002,1011,1021,1031,1041,1051,1060,1071,1080,1093,1101,1111,1121,1131,1141,1150"
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/xqfp9t.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #00ff7f""><b>250<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #00ff7f;""><b>250<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>250<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>250<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","26","62467","0.0-1.0-1.2","xqfp9t","1127","734","","","","","","null","","4_feedback_auto","1","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","27","64472","0.0-1.0-0.3-0.3","xqfp9t","1127","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","",""
"393","","1","html-button-response","28","65616","0.0-1.0-0.3-1.3","xqfp9t","1127","734","","","","","","","","1_start_click","6","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","29","65703","0.0-1.0-0.3-3.3","xqfp9t","1127","734","","","","","","","","2_start_leave","6","true","yes","","","","","","","","","","","","","","","",""
