"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","responses","view_history"
"642","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","644","0.0-0.0","kern","",""
"5488","","","survey-text","1","7135","0.0-1.0","kern","{""Q0"":""222"",""Q1"":""23"",""Q2"":""222""}",""
"1890","","","instructions","2","9027","0.0-2.0","kern","","[{""page_index"":0,""viewing_time"":704},{""page_index"":1,""viewing_time"":474},{""page_index"":2,""viewing_time"":711}]"
