"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","responses","view_history"
"1330","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","1333","0.0-0.0","gbhu7z","",""
"17756","","","survey-text","1","20092","0.0-1.0","gbhu7z","{""Q0"":""matt"",""Q1"":""asd"",""Q2"":""asd""}",""
"1871","","","instructions","2","21963","0.0-2.0","gbhu7z","","[{""page_index"":0,""viewing_time"":866},{""page_index"":1,""viewing_time"":485},{""page_index"":2,""viewing_time"":519}]"
