"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history"
"205173","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","205178","0.0-0.0","",""
"1184","","","survey-text","1","207365","0.0-1.0","{""Q0"":"""",""Q1"":"""",""Q2"":""""}",""
"2226","","","instructions","2","209593","0.0-2.0","","[{""page_index"":0,""viewing_time"":888},{""page_index"":1,""viewing_time"":803},{""page_index"":2,""viewing_time"":534}]"
