"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","responses","view_history"
"1634","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","17","html-keyboard-response","0","1640","0.0-0.0","wqthqo","",""
"6430","","","survey-text","1","9075","0.0-1.0","wqthqo","{""Q0"":""1212"",""Q1"":""22"",""Q2"":""m""}",""
"1702","","","instructions","2","10778","0.0-2.0","wqthqo","","[{""page_index"":0,""viewing_time"":723},{""page_index"":1,""viewing_time"":557},{""page_index"":2,""viewing_time"":421}]"
