"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","responses","view_history"
"1583","<b>Welcome to this set of tasks!</b><br><br><br><br><br>Press any key to continue","32","html-keyboard-response","0","1587","0.0-0.0","7bzaut","",""
"6072","","","survey-text","1","8663","0.0-1.0","7bzaut","{""Q0"":""matt"",""Q1"":""sds"",""Q2"":""sds""}",""
"2289","","","instructions","2","10952","0.0-2.0","7bzaut","","[{""page_index"":0,""viewing_time"":958},{""page_index"":1,""viewing_time"":497},{""page_index"":2,""viewing_time"":834}]"
